Year AD,Year BS,Fertilizer,Sales amount 
1991/92,2048/49,Urea,92674
1992/93,2049/50,Urea,107005
1993/94,2050/51,Urea,103201
1994/95,2051/52,Urea,117716
1995/96,2052/53,Urea,82849
1996/97,2053/54,Urea,77577
1997/98,2054/55,Urea,59110
1998/99,2055/56,Urea,59956
1999/00,2056/57,Urea,43508
2000/01,2057/58,Urea,29528
2001/02,2058/59,Urea,17697
2002/03,2059/60,Urea,34449
2003/04,2060/61,Urea,7428
2004/05,2061/62,Urea,10043
1991/92,2048/49,DAP,18481
1992/93,2049/50,DAP,42418
1993/94,2050/51,DAP,35217
1994/95,2051/52,DAP,52806
1995/96,2052/53,DAP,46243
1996/97,2053/54,DAP,41921
1997/98,2054/55,DAP,28530
1998/99,2055/56,DAP,26298
1999/00,2056/57,DAP,26154
2000/01,2057/58,DAP,15633
2001/02,2058/59,DAP,20645
2002/03,2059/60,DAP,33331
2003/04,2060/61,DAP,11377
2004/05,2061/62,DAP,19436
1991/92,2048/49,Complex,66621
1992/93,2049/50,Complex,8990
1993/94,2050/51,Complex,4624
1994/95,2051/52,Complex,17
1995/96,2052/53,Complex,3
1996/97,2053/54,Complex,0
1997/98,2054/55,Complex,0
1998/99,2055/56,Complex,0
1999/00,2056/57,Complex,0
2000/01,2057/58,Complex,0
2001/02,2058/59,Complex,0
2002/03,2059/60,Complex,0
2003/04,2060/61,Complex,0
2004/05,2061/62,Complex,0
1991/92,2048/49,Potash,2071
1992/93,2049/50,Potash,2005
1993/94,2050/51,Potash,2129
1994/95,2051/52,Potash,2630
1995/96,2052/53,Potash,3999
1996/97,2053/54,Potash,2725
1997/98,2054/55,Potash,2096
1998/99,2055/56,Potash,2096
1999/00,2056/57,Potash,308
2000/01,2057/58,Potash,58
2001/02,2058/59,Potash,1016
2002/03,2059/60,Potash,2966
2003/04,2060/61,Potash,1688
2004/05,2061/62,Potash,2332
1991/92,2048/49,A.Sulphate,3632
1992/93,2049/50,A.Sulphate,8574
1993/94,2050/51,A.Sulphate,3087
1994/95,2051/52,A.Sulphate,3462
1995/96,2052/53,A.Sulphate,64
1996/97,2053/54,A.Sulphate,0
1997/98,2054/55,A.Sulphate,1442
1998/99,2055/56,A.Sulphate,0
1999/00,2056/57,A.Sulphate,1490
2000/01,2057/58,A.Sulphate,0
2001/02,2058/59,A.Sulphate,0
2002/03,2059/60,A.Sulphate,0
2003/04,2060/61,A.Sulphate,0
2004/05,2061/62,A.Sulphate,0
1991/92,2048/49,TSP,2268
1992/93,2049/50,TSP,639
1993/94,2050/51,TSP,50
1994/95,2051/52,TSP,12
1995/96,2052/53,TSP,74
1996/97,2053/54,TSP,0
1997/98,2054/55,TSP,0
1998/99,2055/56,TSP,0
1999/00,2056/57,TSP,0
2000/01,2057/58,TSP,0
2001/02,2058/59,TSP,0
2002/03,2059/60,TSP,0
2003/04,2060/61,TSP,0
2004/05,2061/62,TSP,0
1991/92,2048/49,Others,50
1992/93,2049/50,Others,136
1993/94,2050/51,Others,105
1994/95,2051/52,Others,45
1995/96,2052/53,Others,18
1996/97,2053/54,Others,0
1997/98,2054/55,Others,0
1998/99,2055/56,Others,0
1999/00,2056/57,Others,0
2000/01,2057/58,Others,0
2001/02,2058/59,Others,0
2002/03,2059/60,Others,0
2003/04,2060/61,Others,0
2004/05,2061/62,Others,0
