Year AD,Year BS,Seed type,Sales amount
1991/92,2048/49,Paddy,65.0
1992/93,2049/50,Paddy,211.0
1993/94,2050/51,Paddy,242.0
1994/95,2051/52,Paddy,314.0
1995/96,2052/53,Paddy,250.0
1996/97,2053/54,Paddy,372.0
1997/98,2054/55,Paddy,178.0
1998/99,2055/56,Paddy,308.0
1999/00,2056/57,Paddy,326.0
2000/01,2057/58,Paddy,231.0
2001/02,2058/59,Paddy,104.0
2002/03,2059/60,Paddy,353.0
2003/04,2060/61,Paddy,503.72
2004/05,2061/62,Paddy,546.0
1991/92,2048/49,Wheat,1894.0
1992/93,2049/50,Wheat,1574.0
1993/94,2050/51,Wheat,3229.0
1994/95,2051/52,Wheat,3304.0
1995/96,2052/53,Wheat,2949.0
1996/97,2053/54,Wheat,3431.0
1997/98,2054/55,Wheat,1935.0
1998/99,2055/56,Wheat,1443.0
1999/00,2056/57,Wheat,2244.0
2000/01,2057/58,Wheat,1656.0
2001/02,2058/59,Wheat,2601.0
2002/03,2059/60,Wheat,1680.0
2003/04,2060/61,Wheat,1665.76
2004/05,2061/62,Wheat,1205.0
1991/92,2048/49,Maize,63.0
1992/93,2049/50,Maize,77.0
1993/94,2050/51,Maize,105.0
1994/95,2051/52,Maize,85.0
1995/96,2052/53,Maize,145.0
1996/97,2053/54,Maize,124.0
1997/98,2054/55,Maize,116.0
1998/99,2055/56,Maize,43.0
1999/00,2056/57,Maize,25.0
2000/01,2057/58,Maize,7.0
2001/02,2058/59,Maize,52.0
2002/03,2059/60,Maize,20.0
2003/04,2060/61,Maize,19.86
2004/05,2061/62,Maize,2.11
1991/92,2048/49,Vegetable,24.0
1992/93,2049/50,Vegetable,17.0
1993/94,2050/51,Vegetable,19.0
1994/95,2051/52,Vegetable,17.0
1995/96,2052/53,Vegetable,21.0
1996/97,2053/54,Vegetable,19.0
1997/98,2054/55,Vegetable,14.0
1998/99,2055/56,Vegetable,16.0
1999/00,2056/57,Vegetable,6.0
2000/01,2057/58,Vegetable,2.0
2001/02,2058/59,Vegetable,36.0
2002/03,2059/60,Vegetable,2.3
2003/04,2060/61,Vegetable,1.48
2004/05,2061/62,Vegetable,1.19
1991/92,2048/49,Lentil,0.0
1992/93,2049/50,Lentil,27.0
1993/94,2050/51,Lentil,42.0
1994/95,2051/52,Lentil,66.0
1995/96,2052/53,Lentil,36.0
1996/97,2053/54,Lentil,61.0
1997/98,2054/55,Lentil,27.0
1998/99,2055/56,Lentil,55.0
1999/00,2056/57,Lentil,10.0
2000/01,2057/58,Lentil,15.0
2001/02,2058/59,Lentil,27.0
2002/03,2059/60,Lentil,17.0
2003/04,2060/61,Lentil,12.6
2004/05,2061/62,Lentil,12.16
1991/92,2048/49,Jute,0.0
1992/93,2049/50,Jute,0.0
1993/94,2050/51,Jute,73.0
1994/95,2051/52,Jute,43.0
1995/96,2052/53,Jute,64.0
1996/97,2053/54,Jute,54.0
1997/98,2054/55,Jute,20.0
1998/99,2055/56,Jute,37.0
1999/00,2056/57,Jute,19.0
2000/01,2057/58,Jute,11.0
2001/02,2058/59,Jute,7.0
2002/03,2059/60,Jute,4.0
2003/04,2060/61,Jute,1.2
2004/05,2061/62,Jute,0.0
1991/92,2048/49,Others,30.0
1992/93,2049/50,Others,0.0
1993/94,2050/51,Others,17.0
1994/95,2051/52,Others,4.0
1995/96,2052/53,Others,3.0
1996/97,2053/54,Others,3.0
1997/98,2054/55,Others,1.0
1998/99,2055/56,Others,3.0
1999/00,2056/57,Others,0.0
2000/01,2057/58,Others,0.0
2001/02,2058/59,Others,0.9
2002/03,2059/60,Others,0.4
2003/04,2060/61,Others,1.0
2004/05,2061/62,Others,
