Year AD,Year BS,Commodity,Production In 1000 dollars,Production – MT
2011,2068,"Fruit, fresh nes",277190,794164.0
2011,2068,Ginger,146478,216289.0
2011,2068,Lentils,81210,206869.0
2011,2068,Maize,241848,2067522.0
2011,2068,"Mangoes, mangosteens, guavas",105906,176756.0
2011,2068,"Meat indigenous, buffalo",426304,158375.0
2011,2068,"Meat indigenous, cattle",135409,50126.0
2011,2068,"Meat indigenous, chicken",51397,36083.0
2011,2068,"Meat indigenous, goat",117067,48857.0
2011,2068,"Milk, whole fresh buffalo",442478,1109325.0
2011,2068,"Milk, whole fresh cow",139549,447185.0
2011,2068,Millet,53914,302691.0
2011,2068,Mustard seed,71492,176186.0
2011,2068,Oilseeds nes,54885,176186.0
2011,2068,Potatoes,386178,2508044.0
2011,2068,"Rice, paddy",1155010,4460278.0
2011,2068,Sugar cane,85024,2718226.0
2011,2068,"Tangerines, mandarins, clementines, satsumas",44339,179494.0
2011,2068,"Vegetables, fresh nes",603683,3203563.0
2011,2068,Wheat,219976,1745811.0
2010,2067,"Fruit, fresh nes",246757,706972.0
2010,2067,Ginger,142754,210790.0
2010,2067,Lentils,58705,151757.0
2010,2067,Maize,217400,1855184.0
2010,2067,"Mangoes, mangosteens, guavas",76283,127315.0
2010,2067,"Meat indigenous, buffalo",429556,159583.0
2010,2067,"Meat indigenous, cattle",134940,49952.0
2010,2067,"Meat indigenous, goat",109203,45575.0
2010,2067,"Milk, whole fresh buffalo",425542,1066867.0
2010,2067,"Milk, whole fresh cow",133884,429030.0
2010,2067,Millet,53369,299523.0
2010,2067,Mustard seed,62822,155050.0
2010,2067,Oilseeds nes,46611,149625.0
2010,2067,Potatoes,387807,2517696.0
2010,2067,"Rice, paddy",1040202,4023823.0
2010,2067,"Roots and tubers, nes",27531,160988.0
2010,2067,Sugar cane,80993,2592500.0
2010,2067,"Tangerines, mandarins, clementines, satsumas",43196,174867.0
2010,2067,"Vegetables, fresh nes",566043,3003820.0
2010,2067,Wheat,226392,1556539.0
2009,2066,"Fruit, fresh nes",239512,686213.0
2009,2066,Ginger,121216,178987.0
2009,2066,Lentils,57058,147725.0
2009,2066,Maize,228799,1930669.0
2009,2066,"Mangoes, mangosteens, guavas",73004,121842.0
2009,2066,"Meat indigenous, buffalo",420908,156371.0
2009,2066,"Meat indigenous, cattle",132031,48875.0
2009,2066,"Meat indigenous, goat",110535,46131.0
2009,2066,"Milk, whole fresh buffalo",411435,1031500.0
2009,2066,"Milk, whole fresh cow",129168,413919.0
2009,2066,Millet,52132,292683.0
2009,2066,Mustard seed,54799,135494.0
2009,2066,Oilseeds nes,42209,135494.0
2009,2066,Potatoes,372001,2424048.0
2009,2066,"Rice, paddy",1172667,4523693.0
2009,2066,"Roots and tubers, nes",26507,155000.0
2009,2066,Sugar cane,73306,2354412.0
2009,2066,"Tangerines, mandarins, clementines, satsumas",42502,172058.0
2009,2066,"Vegetables, fresh nes",519043,2754406.0
2009,2066,Wheat,193571,1343862.0
2008,2065,"Eggs, hen, in shell",25606,30873.0
2008,2065,"Fruit, fresh nes",220088,630563.0
2008,2065,Ginger,109150,161171.0
2008,2065,Lentils,62539,161147.0
2008,2065,Maize,209005,1878648.0
2008,2065,"Mangoes, mangosteens, guavas",66349,110736.0
2008,2065,"Meat indigenous, buffalo",408234,151662.0
2008,2065,"Meat indigenous, cattle",125600,46495.0
2008,2065,"Meat indigenous, goat",99722,41619.0
2008,2065,"Milk, whole fresh buffalo",393997,987780.0
2008,2065,"Milk, whole fresh cow",125121,400950.0
2008,2065,Millet,51854,291098.0
2008,2065,Mustard seed,54304,134286.0
2008,2065,Oilseeds nes,41833,134286.0
2008,2065,Potatoes,313058,2054817.0
2008,2065,"Rice, paddy",1113259,4299264.0
2008,2065,Sugar cane,77799,2485437.0
2008,2065,"Tangerines, mandarins, clementines, satsumas",37236,150738.0
2008,2065,"Vegetables, fresh nes",481090,2553000.0
2008,2065,Wheat,230120,1572065.0
2007,2064,"Eggs, hen, in shell",24921,30048.0
2007,2064,"Fruit, fresh nes",200728,575095.0
2007,2064,Ginger,107616,158905.0
2007,2064,Lentils,63988,164694.0
2007,2064,Maize,201610,1819925.0
2007,2064,"Mangoes, mangosteens, guavas",81648,136270.0
2007,2064,"Meat indigenous, buffalo",395842,147058.0
2007,2064,"Meat indigenous, cattle",126749,46920.0
2007,2064,"Meat indigenous, goat",99950,41714.0
2007,2064,"Milk, whole fresh buffalo",382359,958603.0
2007,2064,"Milk, whole fresh cow",122575,392791.0
2007,2064,Millet,50715,284813.0
2007,2064,Mustard seed,54872,135660.0
2007,2064,Oilseeds nes,42261,135660.0
2007,2064,Potatoes,301991,1943246.0
2007,2064,"Rice, paddy",980430,3680839.0
2007,2064,Sugar cane,81234,2599789.0
2007,2064,"Tangerines, mandarins, clementines, satsumas",26994,109277.0
2007,2064,"Vegetables, fresh nes",438869,2328945.0
2007,2064,Wheat,217706,1515139.0
2006,2063,"Eggs, hen, in shell",24351,29360.0
2006,2063,"Fruit, fresh nes",186890,535449.0
2006,2063,Ginger,104427,154197.0
2006,2063,Lentils,61239,157963.0
2006,2063,Maize,193323,1734417.0
2006,2063,"Mangoes, mangosteens, guavas",85924,143406.0
2006,2063,"Meat indigenous, buffalo",382291,142024.0
2006,2063,"Meat indigenous, cattle",123993,45900.0
2006,2063,"Meat indigenous, goat",94154,39295.0
2006,2063,"Milk, whole fresh buffalo",369694,926850.0
2006,2063,"Milk, whole fresh cow",120234,385290.0
2006,2063,Millet,51828,290936.0
2006,2063,Mustard seed,56357,139322.0
2006,2063,Oilseeds nes,43402,139322.0
2006,2063,Potatoes,307815,1974755.0
2006,2063,"Rice, paddy",1124878,4209279.0
2006,2063,Sugar cane,76659,2462574.0
2006,2063,"Tangerines, mandarins, clementines, satsumas",25675,103937.0
2006,2063,"Vegetables, fresh nes",412705,2190100.0
2006,2063,Wheat,199797,1394126.0
2005,2062,"Fruit, fresh nes",192974,552879.0
2005,2062,Ginger,104429,154200.0
2005,2062,Lentils,62363,160716.0
2005,2062,Maize,191237,1716042.0
2005,2062,"Mangoes, mangosteens, guavas",80639,134586.0
2005,2062,"Meat indigenous, buffalo",374068,138969.0
2005,2062,"Meat indigenous, cattle",127555,47218.0
2005,2062,"Meat indigenous, goat",94185,39308.0
2005,2062,"Meat indigenous, pig",24096,15675.0
2005,2062,"Milk, whole fresh buffalo",356826,894591.0
2005,2062,"Milk, whole fresh cow",118470,379637.0
