Kinds of Pesticides,Year AD,Year BS,Unnamed: 2,Form of Ingredients,Amount of Ingredients
Insecticides,2006/07,2063/64,Total Active Ingredint s (kg.),,46553.25
Insecticides,2006/07,2063/64,Formulation,Liquid (Ltr.),94234.45
Insecticides,2006/07,2063/64,Formulation,Solid (kg.),165767.6
Insecticides,2007/08,2064/65,Total Active Ingredint s (kg.),,60282.42
Insecticides,2007/08,2064/65,Formulation,Liquid (Ltr.) ,99095.38
Insecticides,2007/08,2064/65,Formulation,Solid (kg.) ,179051.0
Insecticides,2008/09,2065/66,Total Active Ingredint s (kg.),,105814.6
Insecticides,2008/09,2065/66,Formulation,Liquid (Ltr.) ,132278.0
Insecticides,2008/09,2065/66,Formulation,Solid (kg.) ,181191.5
Insecticides,2009/10,2066/67,Total Active Ingredint s (kg.),,61615.8
Insecticides,2009/10,2066/67,Formulation,Liquid (Ltr.) ,220631.5
Insecticides,2009/10,2066/67,Formulation,Solid (kg.) ,308343.5
Insecticides,2010/11,2067/68,Total Active Ingredint s (kg.),,96115.325
Insecticides,2010/11,2067/68,Formulation,Liquid (Ltr.) ,221059.1
Insecticides,2010/11,2067/68,Formulation,Solid (kg.) ,326073.5
Organochlorine,2006/07,2063/64,Total Active Ingredint s (kg.),,8214.5
Organochlorine,2006/07,2063/64,Formulation,Liquid (Ltr.),31560.0
Organochlorine,2006/07,2063/64,Formulation,Solid (kg.),0.0
Organochlorine,2007/08,2064/65,Total Active Ingredint s (kg.),,11046.0
Organochlorine,2007/08,2064/65,Formulation,Liquid (Ltr.) ,32582.59
Organochlorine,2007/08,2064/65,Formulation,Solid (kg.) ,0.0
Organochlorine,2008/09,2065/66,Total Active Ingredint s (kg.),,11403.9
Organochlorine,2008/09,2065/66,Formulation,Liquid (Ltr.) ,31485.0
Organochlorine,2008/09,2065/66,Formulation,Solid (kg.) ,0.0
Organochlorine,2009/10,2066/67,Total Active Ingredint s (kg.),,11019.8
Organochlorine,2009/10,2066/67,Formulation,Liquid (Ltr.) ,40059.0
Organochlorine,2009/10,2066/67,Formulation,Solid (kg.) ,280.0
Organochlorine,2010/11,2067/68,Total Active Ingredint s (kg.),,14031.85
Organochlorine,2010/11,2067/68,Formulation,Liquid (Ltr.) ,29820.0
Organochlorine,2010/11,2067/68,Formulation,Solid (kg.) ,0.0
Organo- phospates,2006/07,2063/64,Total Active Ingredint s (kg.),,24682.6
Organo- phospates,2006/07,2063/64,Formulation,Liquid (Ltr.),15904.95
Organo- phospates,2006/07,2063/64,Formulation,Solid (kg.),94749.0
Organo- phospates,2007/08,2064/65,Total Active Ingredint s (kg.),,17709.05
Organo- phospates,2007/08,2064/65,Formulation,Liquid (Ltr.) ,16415.49
Organo- phospates,2007/08,2064/65,Formulation,Solid (kg.) ,95745.0
Organo- phospates,2008/09,2065/66,Total Active Ingredint s (kg.),,65838.2
Organo- phospates,2008/09,2065/66,Formulation,Liquid (Ltr.) ,42884.0
Organo- phospates,2008/09,2065/66,Formulation,Solid (kg.) ,10765.0
Organo- phospates,2009/10,2066/67,Total Active Ingredint s (kg.),,23280.3
Organo- phospates,2009/10,2066/67,Formulation,Liquid (Ltr.) ,71924.5
Organo- phospates,2009/10,2066/67,Formulation,Solid (kg.) ,17595.0
Organo- phospates,2010/11,2067/68,Total Active Ingredint s (kg.),,40148.42
Organo- phospates,2010/11,2067/68,Formulation,Liquid (Ltr.) ,96603.0
Organo- phospates,2010/11,2067/68,Formulation,Solid (kg.) ,39360.0
Carbamates,2006/07,2063/64,Total Active Ingredint s (kg.),,115.4
Carbamates,2006/07,2063/64,Formulation,Liquid (Ltr.),25.0
Carbamates,2006/07,2063/64,Formulation,Solid (kg.),7545.0
Carbamates,2007/08,2064/65,Total Active Ingredint s (kg.),,321.05
Carbamates,2007/08,2064/65,Formulation,Liquid (Ltr.) ,205.6
Carbamates,2007/08,2064/65,Formulation,Solid (kg.) ,7654.0
Carbamates,2008/09,2065/66,Total Active Ingredint s (kg.),,1100.34
Carbamates,2008/09,2065/66,Formulation,Liquid (Ltr.) ,650.0
Carbamates,2008/09,2065/66,Formulation,Solid (kg.) ,31363.0
Carbamates,2009/10,2066/67,Total Active Ingredint s (kg.),,1344.15
Carbamates,2009/10,2066/67,Formulation,Liquid (Ltr.) ,669.0
Carbamates,2009/10,2066/67,Formulation,Solid (kg.) ,48233.0
Carbamates,2010/11,2067/68,Total Active Ingredint s (kg.),,2127.95
Carbamates,2010/11,2067/68,Formulation,Liquid (Ltr.) ,971.5
Carbamates,2010/11,2067/68,Formulation,Solid (kg.) ,85800.0
Synthetic Pyrethroids,2006/07,2063/64,Total Active Ingredint s (kg.),,2640.43
Synthetic Pyrethroids,2006/07,2063/64,Formulation,Liquid (Ltr.),21851.95
Synthetic Pyrethroids,2006/07,2063/64,Formulation,Solid (kg.),20063.0
Synthetic Pyrethroids,2007/08,2064/65,Total Active Ingredint s (kg.),,4592.66
Synthetic Pyrethroids,2007/08,2064/65,Formulation,Liquid (Ltr.) ,22581.8
Synthetic Pyrethroids,2007/08,2064/65,Formulation,Solid (kg.) ,19941.0
