Year AD,Year BS, Milk products,Price
1986/97,2043/54,Pasteurised Milk,8
1986/97,2043/54,Yak Butter,90
1986/97,2043/54,Local Cheese,110
1986/97,2043/54,Special Curd,10
1986/97,2043/54,Kanchan Curd,14
1986/97,2043/54,Buff Cheese,
1986/97,2043/54,Processed Cheese,
1986/97,2043/54,Cheese,
1986/97,2043/54,Panir,
1986/97,2043/54,Cream,
1986/97,2043/54,Ghee,
1987/88,2044/45,Pasteurised Milk,8
1987/88,2044/45,Yak Butter,90
1987/88,2044/45,Local Cheese,110
1987/88,2044/45,Special Curd,10
1987/88,2044/45,Kanchan Curd,14
1987/88,2044/45,Buff Cheese,
1987/88,2044/45,Processed Cheese,
1987/88,2044/45,Cheese,
1987/88,2044/45,Panir,
1987/88,2044/45,Cream,
1987/88,2044/45,Ghee,
1988/89,2045/46,Pasteurised Milk,8
1988/89,2045/46,Yak Butter,90
1988/89,2045/46,Local Cheese,110
1988/89,2045/46,Special Curd,10
1988/89,2045/46,Kanchan Curd,14
1988/89,2045/46,Buff Cheese,
1988/89,2045/46,Processed Cheese,
1988/89,2045/46,Cheese,
1988/89,2045/46,Panir,
1988/89,2045/46,Cream,
1988/89,2045/46,Ghee,
1989/90,2046/47,Pasteurised Milk,10
1989/90,2046/47,Yak Butter,100
1989/90,2046/47,Local Cheese,125
1989/90,2046/47,Special Curd,13
1989/90,2046/47,Kanchan Curd,16
1989/90,2046/47,Buff Cheese,
1989/90,2046/47,Processed Cheese,
1989/90,2046/47,Cheese,
1989/90,2046/47,Panir,
1989/90,2046/47,Cream,
1989/90,2046/47,Ghee,
1990/91,2047/48,Pasteurised Milk,10
1990/91,2047/48,Yak Butter,100
1990/91,2047/48,Local Cheese,140
1990/91,2047/48,Special Curd,15
1990/91,2047/48,Kanchan Curd,18
1990/91,2047/48,Buff Cheese,
1990/91,2047/48,Processed Cheese,
1990/91,2047/48,Cheese,
1990/91,2047/48,Panir,
1990/91,2047/48,Cream,
1990/91,2047/48,Ghee,
1992/93,2049/50,Pasteurised Milk,15
1992/93,2049/50,Yak Butter,110
1992/93,2049/50,Local Cheese,180
1992/93,2049/50,Special Curd,17
1992/93,2049/50,Kanchan Curd,20
1992/93,2049/50,Buff Cheese,130
1992/93,2049/50,Processed Cheese,110
1992/93,2049/50,Cheese,120
1992/93,2049/50,Panir,120
1992/93,2049/50,Cream,75
1992/93,2049/50,Ghee,
1993/94,2050/51,Pasteurised Milk,15
1993/94,2050/51,Yak Butter,120
1993/94,2050/51,Local Cheese,200
1993/94,2050/51,Special Curd,20
1993/94,2050/51,Kanchan Curd,25
1993/94,2050/51,Buff Cheese,160
1993/94,2050/51,Processed Cheese,150
1993/94,2050/51,Cheese,160
1993/94,2050/51,Panir,150
1993/94,2050/51,Cream,75
1993/94,2050/51,Ghee,
1994/95,2051/52,Pasteurised Milk,15
1994/95,2051/52,Yak Butter,135
1994/95,2051/52,Local Cheese,200
1994/95,2051/52,Special Curd,20
1994/95,2051/52,Kanchan Curd,25
1994/95,2051/52,Buff Cheese,170
1994/95,2051/52,Processed Cheese,150
1994/95,2051/52,Cheese,160
1994/95,2051/52,Panir,150
1994/95,2051/52,Cream,75
1994/95,2051/52,Ghee,
1995/96,2052/53,Pasteurised Milk,18
1995/96,2052/53,Yak Butter,160
1995/96,2052/53,Local Cheese,210
1995/96,2052/53,Special Curd,25
1995/96,2052/53,Kanchan Curd,30
1995/96,2052/53,Buff Cheese,190
1995/96,2052/53,Processed Cheese,180
1995/96,2052/53,Cheese,220
1995/96,2052/53,Panir,180
1995/96,2052/53,Cream,100
1995/96,2052/53,Ghee,
1996/97,2053/54,Pasteurised Milk,18
1996/97,2053/54,Yak Butter,160
1996/97,2053/54,Local Cheese,250
1996/97,2053/54,Special Curd,25
1996/97,2053/54,Kanchan Curd,30
1996/97,2053/54,Buff Cheese,190
1996/97,2053/54,Processed Cheese,180
1996/97,2053/54,Cheese,220
1996/97,2053/54,Panir,180
1996/97,2053/54,Cream,100
1996/97,2053/54,Ghee,
1997/98,2054/55,Pasteurised Milk,20
1997/98,2054/55,Yak Butter,180
1997/98,2054/55,Local Cheese,250
1997/98,2054/55,Special Curd,30
1997/98,2054/55,Kanchan Curd,35
1997/98,2054/55,Buff Cheese,220
1997/98,2054/55,Processed Cheese,180
1997/98,2054/55,Cheese,220
1997/98,2054/55,Panir,190
1997/98,2054/55,Cream,125
1997/98,2054/55,Ghee,
1998/99,2055/56,Pasteurised Milk,20
