Year,Commodity,Price
 86/88,Rice Coarse,6.56
87/88,Rice Coarse,7
88/89,Rice Coarse,7.65
89/90,Rice Coarse,7.73
90/91,Rice Coarse,7.7
91/92,Rice Coarse,9.81
92/93,Rice Coarse,11.41
93/94,Rice Coarse,11.54
94/95,Rice Coarse,12.1
95/96,Rice Coarse,13.99
96/97,Rice Coarse,14.71
97/98,Rice Coarse,15.64
98/99,Rice Coarse,17.42
99/00,Rice Coarse,20.51
2000/01,Rice Coarse,17.97
2001/02,Rice Coarse,17.07
2002/03,Rice Coarse,17.2
2003/04,Rice Coarse,17.88
 86/88,Raw Rice Medium,7.77
87/88,Raw Rice Medium,8.63
88/89,Raw Rice Medium,8.19
89/90,Raw Rice Medium,9.2
90/91,Raw Rice Medium,9.09
91/92,Raw Rice Medium,11.71
92/93,Raw Rice Medium,13.57
93/94,Raw Rice Medium,14.09
94/95,Raw Rice Medium,12.19
95/96,Raw Rice Medium,16.3
96/97,Raw Rice Medium,17.3
97/98,Raw Rice Medium,18
98/99,Raw Rice Medium,19.49
99/00,Raw Rice Medium,24.07
2000/01,Raw Rice Medium,22.23
2001/02,Raw Rice Medium,21.03
2002/03,Raw Rice Medium,21.78
2003/04,Raw Rice Medium,23.48
 86/88,Raw Rice Fine,8.25
87/88,Raw Rice Fine,9.2
88/89,Raw Rice Fine,10.36
89/90,Raw Rice Fine,11.03
90/91,Raw Rice Fine,12.57
91/92,Raw Rice Fine,14.18
92/93,Raw Rice Fine,16.57
93/94,Raw Rice Fine,17.99
94/95,Raw Rice Fine,19.11
95/96,Raw Rice Fine,21.09
96/97,Raw Rice Fine,23.69
97/98,Raw Rice Fine,24.41
98/99,Raw Rice Fine,26.71
99/00,Raw Rice Fine,34.17
2000/01,Raw Rice Fine,34.54
2001/02,Raw Rice Fine,33.56
2002/03,Raw Rice Fine,32.93
2003/04,Raw Rice Fine,36.02
 86/88,Parboild Rice,5.77
87/88,Parboild Rice,6.9
88/89,Parboild Rice,7.15
89/90,Parboild Rice,7.4
90/91,Parboild Rice,7.39
91/92,Parboild Rice,9.3
92/93,Parboild Rice,10.77
93/94,Parboild Rice,12.01
94/95,Parboild Rice,12.79
95/96,Parboild Rice,12.26
96/97,Parboild Rice,0
97/98,Parboild Rice,0
98/99,Parboild Rice,0
